agency_name,total_items,total_acquisition_value,most_acquired_item,first_acquisition,last_acquisition,agency_name_2,slug_name,slug
CARROLL COUNTY SHERIFF DEPT,751,43290.4,"RIFLE,5.56 MILLIMETER",2001-05-29T12:00:00Z,2021-02-24T12:00:00Z,"CARROLL COUNTY SHERIFF DEPT, Maryland",_,carroll_county_sheriff_dept
CECIL COUNTY SHERIFF'S OFFICE,52,22628,"RIFLE,5.56 MILLIMETER",2003-10-14T12:00:00Z,2014-03-24T12:00:00Z,"CECIL COUNTY SHERIFF'S OFFICE, Maryland",_,cecil_county_sheriff's_office
CENTREVILLE POLICE DEPT,24,60908,"RIFLE,5.56 MILLIMETER",2003-10-14T12:00:00Z,2014-12-03T12:00:00Z,"CENTREVILLE POLICE DEPT, Maryland",_,centreville_police_dept
CHARLES COUNTY SHERIFFS  OFFICE,211,223107.72,"RIFLE,5.56 MILLIMETER",1998-09-28T12:00:00Z,2015-03-30T12:00:00Z,"CHARLES COUNTY SHERIFFS  OFFICE, Maryland",_,charles_county_sheriffs__office
CHESTERTOWN POLICE DEPT,15,7124,"RIFLE,5.56 MILLIMETER",2003-10-14T12:00:00Z,2004-09-07T12:00:00Z,"CHESTERTOWN POLICE DEPT, Maryland",_,chestertown_police_dept
COLMAR MANOR POLICE DEPARTMENT,16,5231.1,"PISTOL, 40CAL, GLOCK GEN 3",1999-01-28T12:00:00Z,2014-04-10T12:00:00Z,"COLMAR MANOR POLICE DEPARTMENT, Maryland",_,colmar_manor_police_department
COPPIN STATE COLLEGE POLICE HI_ED,70,41128.96,"PISTOL, 40CAL, GLOCK GEN 3",2013-09-19T12:00:00Z,2021-11-10T12:00:00Z,"COPPIN STATE COLLEGE POLICE HI_ED, Maryland",_,coppin_state_college_police_hi_ed
CUMBERLAND POLICE DEPT,3,865276,"RIFLE,7.62 MILLIMETER",2004-03-15T12:00:00Z,2016-10-12T12:00:00Z,"CUMBERLAND POLICE DEPT, Maryland",_,cumberland_police_dept
DENTON POLICE DEPT,92,109695.23,"PISTOL,CALIBER .45,AUTOMATIC",1997-04-21T12:00:00Z,2015-03-27T12:00:00Z,"DENTON POLICE DEPT, Maryland",_,denton_police_dept
DORCHESTER COUNTY SHERIFF'S OFFICE,22,619393,"RIFLE,5.56 MILLIMETER",1997-04-21T12:00:00Z,2019-04-25T12:00:00Z,"DORCHESTER COUNTY SHERIFF'S OFFICE, Maryland",_,dorchester_county_sheriff's_office
EASTON POLICE DEPT,660,4118.4,"SANITIZER, HAND (PERSONAL SIZE)",2021-02-17T10:31:25Z,2021-02-17T12:00:00Z,"EASTON POLICE DEPT, Maryland",_,easton_police_dept
FRUITLAND POLICE DEPT,46,144436,"SIGHT,REFLEX",1998-10-09T12:00:00Z,2014-03-24T12:00:00Z,"FRUITLAND POLICE DEPT, Maryland",_,fruitland_police_dept
GREENBELT POLICE DEPT,1,460000,ONLY COMPLETE COMBAT/ASSAULT/TACTICAL WHEELED VEHICLES,2000-03-28T12:00:00Z,2000-03-28T12:00:00Z,"GREENBELT POLICE DEPT, Maryland",_,greenbelt_police_dept
GREENSBORO POLICE DEPT,10,52887,"SHOTGUN,12 GAGE,RIOT TYPE",1997-04-21T12:00:00Z,2014-03-24T12:00:00Z,"GREENSBORO POLICE DEPT, Maryland",_,greensboro_police_dept
HAMPSTEAD POLICE DEPARTMENT,5,1358,"RIFLE,5.56 MILLIMETER",2006-08-28T12:00:00Z,2011-10-07T12:00:00Z,"HAMPSTEAD POLICE DEPARTMENT, Maryland",_,hampstead_police_department
HARFORD COUNTY SHERIFFS OFFICE,917,88476.88,"RIFLE,5.56 MILLIMETER",2002-10-21T12:00:00Z,2021-02-17T12:00:00Z,"HARFORD COUNTY SHERIFFS OFFICE, Maryland",_,harford_county_sheriffs_office
HOWARD COUNTY SHERIFF DEPT,2,276,"RIFLE,7.62 MILLIMETER",1998-09-16T12:00:00Z,1998-09-17T12:00:00Z,"HOWARD COUNTY SHERIFF DEPT, Maryland",_,howard_county_sheriff_dept
HYATTSVILLE POLICE DEPT,18,69034,"PISTOL, 40CAL, GLOCK GEN 3",2013-09-19T12:00:00Z,2015-03-30T12:00:00Z,"HYATTSVILLE POLICE DEPT, Maryland",_,hyattsville_police_dept
